Dataset,Task,CorrectAnswer
0,NumHighDegree,6
1,NumHighDegree,29
3,NumHighDegree,10
5,NumHighDegree,51
6,NumHighDegree,25
7,NumHighDegree,84
8,NumHighDegree,49
9,NumHighDegree,34
0,AvgDeg,3.5
1,AvgDeg,22.466666666666665
3,AvgDeg,4.268656716417911
5,AvgDeg,2.6739130434782608
6,AvgDeg,3.308056872037915
7,AvgDeg,6.9037037037037035
8,AvgDeg,3.632398753894081
9,AvgDeg,4.823218997361478
0,NumNodes,8
1,NumNodes,30
3,NumNodes,67
5,NumNodes,184
6,NumNodes,211
7,NumNodes,270
8,NumNodes,321
9,NumNodes,379
0,NumLinks,14
1,NumLinks,337
3,NumLinks,143
5,NumLinks,246
6,NumLinks,349
7,NumLinks,932
8,NumLinks,583
9,NumLinks,914
0,Density,0.5
1,Density,0.7747126436781608
3,Density,0.0646766169154229
5,Density,0.014611546685673556
6,Density,0.01575265177160912
7,Density,0.025664326036073246
8,Density,0.011351246105919003
9,Density,0.012759838617358406
0,NumClust,2
1,NumClust,3
3,NumClust,7
5,NumClust,13
6,NumClust,13
7,NumClust,9
8,NumClust,20
9,NumClust,19
0,NumNodesClust1,5
1,NumNodesClust1,18
3,NumNodesClust1,13
5,NumNodesClust1,30
6,NumNodesClust1,43
7,NumNodesClust1,61
8,NumNodesClust1,56
9,NumNodesClust1,58
0,Modularity,0.173469387755102
1,Modularity,0.0216828535956115
3,Modularity,0.7169788253704337
5,Modularity,0.6356252891797215
6,Modularity,0.5437188528829812
7,Modularity,0.738069636574628
8,Modularity,0.8738102733539489
9,Modularity,0.8382946530747093
0,LargeClust1,62.5
1,LargeClust1,60
3,LargeClust1,19.402985074626866
5,LargeClust1,16.304347826086957
6,LargeClust1,20.379146919431278
7,LargeClust1,22.59259259259259
8,LargeClust1,17.445482866043612
9,LargeClust1,15.303430079155673
